aircraft,throughput,serviceTime
aircraft[3].dataLink[4],77.7725,1.9437258377462e-05
aircraft[0].dataLink[9],77.7525,1.951227882715925e-05
aircraft[1].dataLink[8],78.1625,1.954753502122925e-05
aircraft[2].dataLink[3],78.11,1.95807031898565e-05
aircraft[3].dataLink[9],78.28,1.94616257267295e-05
aircraft[0].dataLink[8],78.3275,1.961597222323575e-05
aircraft[1].dataLink[9],78.05,1.9498260807773248e-05
aircraft[2].dataLink[6],77.8725,1.9456880185183752e-05
aircraft[3].dataLink[2],77.8225,1.955088240130875e-05
aircraft[0].dataLink[9],77.57,1.94314677488465e-05
aircraft[1].dataLink[1],78.045,1.949443319400925e-05
aircraft[2].dataLink[4],77.8025,1.9520852667196e-05
aircraft[3].dataLink[5],78.295,1.9390803522489e-05
aircraft[0].dataLink[6],78.3425,1.950789480609775e-05
aircraft[1].dataLink[4],77.7675,1.9517046504179e-05
aircraft[2].dataLink[2],78.0825,1.9493485297563e-05
aircraft[3].dataLink[8],78.0875,1.95968931249945e-05
aircraft[0].dataLink[1],77.59,1.9500946164992e-05
aircraft[1].dataLink[0],77.8325,1.942024066076625e-05
aircraft[2].dataLink[7],77.975,1.939065072840125e-05
aircraft[3].dataLink[1],78.385,1.944446265936e-05
aircraft[0].dataLink[1],78.115,1.961081217983425e-05
aircraft[1].dataLink[5],78.0475,1.9356074919268498e-05
aircraft[2].dataLink[0],78.36,1.949022158393225e-05
aircraft[3].dataLink[1],78.4575,1.95052634183175e-05
